code,current,name,name_tv,gender,function,country_code,country_long,birth_date
1539643,TRUE,CHEEMA Arjun Singh,Arjun Singh CHEEMA,Male,Athlete,IND,India,6/13/2001
1539683,TRUE,BOUSHITA Abderrahmane,Abderrahmane BOUSHITA,Male,Athlete,MAR,Morocco,9/5/1997
1539720,TRUE,SINGH Sandee,Sandeep SINGH,Male,Athlete,IND,India,1/20/1996
1539747,TRUE,SAMRA Sift Kaur,Sift Kaur SAMRA,Female,Athlete,IND,India,9/9/2001
1539752,TRUE,SINGH Esha,Esha SINGH,Female,Athlete,IND,India,1/1/2005
1539754,TRUE,RAMITA Ramita,Ramita RAMITA,Female,Athlete,IND,India,1/16/2004
1539757,TRUE,KUMARI Rajeshwari,Rajeshwari KUMARI,Female,Athlete,IND,India,12/10/1991
1539767,TRUE,SANGWAN Rhythm,Rhythm SANGWAN,Female,Athlete,IND,India,11/29/2003
1539849,TRUE,SEN Lakshya,Lakshya SEN,Male,Athlete,IND,India,8/16/2001
1539886,TRUE,di TELLA Pascual Maria,Pascual Maria di TELLA,Male,Athlete,ARG,Argentina,9/16/1995
1539948,TRUE,DARRAGH Rachael,Rachael DARRAGH,Female,Athlete,IRL,Ireland,9/24/1997
1539950,TRUE,McNULTY Harry,Harry McNULTY,Male,Athlete,IRL,Ireland,3/5/1993
1539951,TRUE,MOLLEN Bryan,Bryan MOLLEN,Male,Athlete,IRL,Ireland,9/25/1995
1539952,TRUE,KENNEDY Terry,Terry KENNEDY,Male,Athlete,IRL,Ireland,7/4/1996
1539954,TRUE,WALSH Grainne,Grainne WALSH,Female,Athlete,IRL,Ireland,10/13/1995
1539959,TRUE,PASSMORE Jake,Jake PASSMORE,Male,Athlete,IRL,Ireland,6/12/2005
1539961,TRUE,HEALY Sarah,Sarah HEALY,Female,Athlete,IRL,Ireland,2/13/2001
1539962,TRUE,McCANN Luke,Luke McCANN,Male,Athlete,IRL,Ireland,3/12/1998
1539963,TRUE,McCORMACK Fionnuala,Fionnuala McCORMACK,Female,Athlete,IRL,Ireland,9/24/1984
1539966,TRUE,CATTERSON Victoria,Victoria CATTERSON,Female,Athlete,IRL,Ireland,3/25/2001
1539968,TRUE,FERGUSON Conor,Conor FERGUSON,Male,Athlete,IRL,Ireland,10/11/1999
1539969,TRUE,WIFFEN Daniel,Daniel WIFFEN,Male,Athlete,IRL,Ireland,7/14/2001
1539971,TRUE,ARMITAGE Megan,Megan ARMITAGE,Female,Athlete,IRL,Ireland,8/12/1996
1539974,TRUE,GILLESPIE Lara,Lara GILLESPIE,Female,Athlete,IRL,Ireland,4/21/2001
1539976,TRUE,MURPHY Kelly,Kelly MURPHY,Female,Athlete,IRL,Ireland,11/3/1989
1539977,TRUE,GRIFFIN Mia,Mia GRIFFIN,Female,Athlete,IRL,Ireland,12/30/1998
1539978,TRUE,CREIGHTON Erin,Erin CREIGHTON,Female,Alternate Athlete,IRL,Ireland,3/6/2004
1539982,TRUE,SHARPE Alice,Alice SHARPE,Female,Athlete,IRL,Ireland,5/3/1994
1539983,TRUE,HEALY Ben,Ben HEALY,Male,Athlete,IRL,Ireland,9/11/2000
1539985,TRUE,MAGUIRE Leona,Leona MAGUIRE,Female,Athlete,IRL,Ireland,11/30/1994
1539986,TRUE,Mc CLENAGHAN Rhys,Rhys MC CLENAGHAN,Male,Athlete,IRL,Ireland,7/21/1999
1539990,TRUE,MURTAGH Fiona,Fiona MURTAGH,Female,Athlete,IRL,Ireland,7/11/1995
1539991,TRUE,MAGNER Imogen,Imogen MAGNER,Female,Athlete,IRL,Ireland,7/8/1998
1539992,TRUE,LONG Natalie,Natalie LONG,Female,Athlete,IRL,Ireland,6/13/1990
1539993,TRUE,CASEY Aoife,Aoife CASEY,Female,Athlete,IRL,Ireland,6/1/1999
1539998,TRUE,KEOGH Aifric,Aifric KEOGH,Female,Athlete,IRL,Ireland,7/9/1992
1540039,TRUE,TOSTI Alejandro,Alejandro TOSTI,Male,Athlete,ARG,Argentina,5/30/1996
1540108,TRUE,BAR Juan,Juan BAR,Male,Athlete,ARG,Argentina,6/29/1987
1540112,TRUE,BONANNO Nicolas,Nicolas BONANNO,Male,Athlete,ARG,Argentina,11/18/1991
1540120,TRUE,FERNANDEZ Federico,Federico FERNANDEZ,Male,Athlete,ARG,Argentina,10/17/1989
1540143,TRUE,FISCHER Guillermo,Guillermo FISCHER,Male,Athlete,ARG,Argentina,7/18/1996
1540144,TRUE,MACIEL Leonel,Leonel MACIEL,Male,Athlete,ARG,Argentina,1/4/1989
1540173,TRUE,PENRUDDOCKE Adriana,Adriana PENRUDDOCKE,Female,Athlete,BER,Bermuda,6/14/2000
1540175,TRUE,MARTINEZ CAMI Pedro,Pedro MARTINEZ CAMI,Male,Athlete,ARG,Argentina,12/20/1999
1540176,TRUE,WEBSTER Charlotte,Charlotte WEBSTER,Female,Athlete,CAY,Cayman Islands,3/17/2004
1540177,TRUE,MOSCARIELLO Lucas,Lucas MOSCARIELLO,Male,Athlete,ARG,Argentina,2/19/1992
1540178,TRUE,MOYANO Andres,Andres MOYANO,Male,Athlete,ARG,Argentina,7/28/1996
1540179,TRUE,MOURINO Gaston,Gaston MOURINO,Male,Athlete,ARG,Argentina,10/12/1994
1540180,TRUE,PARKER James,James PARKER,Male,Athlete,ARG,Argentina,6/9/1994
1540181,TRUE,PIZARRO Federico,Federico PIZARRO,Male,Athlete,ARG,Argentina,9/7/1986
1540184,TRUE,CROOKS Jillian Janis Geohagan,Jillian Janis Geohagan CROOKS,Female,Athlete,CAY,Cayman Islands,6/27/2006
1540190,TRUE,HARVEY Emma,Emma HARVEY,Female,Athlete,BER,Bermuda,7/23/2001
1540216,TRUE,HAWLEY Erica,Erica HAWLEY,Female,Athlete,BER,Bermuda,5/29/1998
1540226,TRUE,SMITH Tyler,Tyler SMITH,Male,Athlete,BER,Bermuda,9/26/1998
1540262,TRUE,ALEXUC CIURARIU Alin,Alin ALEXUC CIURARIU,Male,Athlete,ROU,Romania,2/3/1990
1540263,TRUE,ARNAUT Razvan,Razvan ARNAUT,Male,Athlete,ROU,Romania,9/28/1998
1540273,TRUE,ANA Andreea Beatrice,Andreea Beatrice ANA,Female,Athlete,ROU,Romania,11/14/2000
1540275,TRUE,AXENTE Catalina,Catalina AXENTE,Female,Athlete,ROU,Romania,10/31/1995
1540278,TRUE,INCZE Kriszta Tunde,Kriszta Tunde INCZE,Female,Athlete,ROU,Romania,5/15/1996
1540305,TRUE,TAZHUDINOV Akhmed,Akhmed TAZHUDINOV,Male,Athlete,BRN,Bahrain,1/25/2003
1540310,TRUE,ERATI Kaimauri,Kaimauri ERATI,Male,Athlete,KIR,Kiribati,6/13/2004
1540334,TRUE,MINASYAN Gor,Gor MINASYAN,Male,Athlete,BRN,Bahrain,10/25/1994
1540335,TRUE,MONTANO Lesman,Lesman MONTANO,Male,Athlete,BRN,Bahrain,3/5/1996
1540349,TRUE,AIT BEKKA Jugurtha,Jugurtha AIT BEKKA,Male,Athlete,ALG,Algeria,3/4/1996
1540351,TRUE,KADI Mourad,Mourad KADI,Male,Athlete,ALG,Algeria,6/26/1995
1540352,TRUE,BOUALAM Roumaysa,Roumaysa BOUALAM,Female,Athlete,ALG,Algeria,10/10/1994
1540353,TRUE,KHELIF Imane,Imane KHELIF,Female,Athlete,ALG,Algeria,5/2/1999
1540354,TRUE,KHELIF Dounia,Dounia KHELIF,Female,Athlete,ALG,Algeria,9/1/1997
1540497,TRUE,PIZARRO Ignacio,Ignacio PIZARRO,Male,Athlete,ARG,Argentina,2/8/1990
1540498,TRUE,SIMONET Pablo,Pablo SIMONET,Male,Athlete,ARG,Argentina,5/4/1992
1540499,TRUE,SIMONET Diego,Diego SIMONET,Male,Athlete,ARG,Argentina,12/26/1989
1540516,TRUE,BONO Nicolas,Nicolas BONO,Male,Athlete,ARG,Argentina,8/16/1997
1540533,TRUE,MONETA Marcos,Marcos MONETA,Male,Athlete,ARG,Argentina,3/7/2000
1540534,TRUE,VERA FELD Santiago,Santiago VERA FELD,Male,Athlete,ARG,Argentina,3/29/2001
1540536,TRUE,OSADCZUK Matias,Matias OSADCZUK,Male,Athlete,ARG,Argentina,4/22/1997
1540537,TRUE,ALVAREZ Santiago,Santiago ALVAREZ,Male,Athlete,ARG,Argentina,2/17/1994
1540538,TRUE,SCHULZ German,German SCHULZ,Male,Athlete,ARG,Argentina,2/5/1994
1540539,TRUE,PELLANDINI Joaquin,Joaquin PELLANDINI,Male,Athlete,ARG,Argentina,5/27/1999
1540543,TRUE,REVOL Gaston,Gaston REVOL,Male,Athlete,ARG,Argentina,11/26/1986
1540583,TRUE,OPTI Soren,Soren OPTI,Male,Athlete,SUR,Suriname,5/16/1997
1540603,TRUE,ELIZALDE Tomas,Tomas ELIZALDE,Male,Athlete,ARG,Argentina,11/18/2002
1540605,TRUE,WADE Tobias,Tobias WADE,Male,Athlete,ARG,Argentina,8/6/1999
1540621,TRUE,GRAZIANO Matteo,Matteo GRAZIANO,Male,Athlete,ARG,Argentina,7/21/2001
1540623,TRUE,GONZALEZ Luciano,Luciano GONZALEZ,Male,Athlete,ARG,Argentina,4/10/1997
1540624,TRUE,FRAGA Agustin,Agustin FRAGA,Male,Athlete,ARG,Argentina,3/6/2002
1540625,TRUE,ISGRO Rodrigo,Rodrigo ISGRO,Male,Athlete,ARG,Argentina,3/24/1999
1540647,TRUE,DELL OLIO Matias,Matias DELL OLIO,Male,Athlete,ARG,Argentina,10/19/1996
1540688,TRUE,GOMEZ SANCHEZ Manuela,Manuela GOMEZ SANCHEZ,Female,Athlete,COL,Colombia,7/20/2000
1540691,TRUE,SCHREUDERS Mikel,Mikel SCHREUDERS,Male,Athlete,ARU,Aruba,9/21/1998
1540692,TRUE,WESTERA Ethan,Ethan WESTERA,Male,Athlete,ARU,Aruba,10/3/1997
1540693,TRUE,van AANHOLT Just,Just van AANHOLT,Male,Athlete,ARU,Aruba,11/24/1995
1540694,TRUE,ELHAGE Phili,Philip ELHAGE,Male,Athlete,ARU,Aruba,4/11/1982
1540695,TRUE,HOWELL Shanayah,Shanayah HOWELL,Female,Athlete,ARU,Aruba,4/7/1999
1540701,TRUE,ARIAS CASTANEDA Yeni Marcela,Yeni Marcela ARIAS CASTANEDA,Female,Athlete,COL,Colombia,12/23/1990
1540702,TRUE,VALENCIA VICTORIA Ingrit Lorena,Ingrit Lorena VALENCIA VICTORIA,Female,Athlete,COL,Colombia,9/3/1988
1540704,TRUE,GONZALEZ LANDAZURY Yilmar Leandro,Yilmar Leandro GONZALEZ LANDAZURY,Male,Athlete,COL,Colombia,3/10/1993
1540706,TRUE,RODRIGUEZ John Edison,John Edison RODRIGUEZ,Male,Athlete,COL,Colombia,1/24/1991
1540710,TRUE,ZUMAYA FLORES Goretti Alejandra,Goretti Alejandra ZUMAYA FLORES,Female,Athlete,MEX,Mexico,5/31/1997
1540717,TRUE,GBAI Jessika,Jessika GBAI,Female,Athlete,CIV,Côte d'Ivoire,12/29/1998
1540829,TRUE,BORDACHYOVA Ekaterina,Ekaterina BORDACHYOVA,Female,Athlete,TJK,Tajikistan,5/17/2003
1540832,TRUE,DRAGAN Annaliese,Annaliese DRAGAN,Female,Athlete,ROU,Romania,9/15/2005
1540905,TRUE,TEIXEIRA SANTANA Herminia,Herminia TEIXEIRA SANTANA,Female,Athlete,STP,Sao Tome and Principe,9/25/2003
1540991,TRUE,GOLUBIC Marko,Marko GOLUBIC,Male,Athlete,CRO,Croatia,7/26/2000
1540998,TRUE,ALONSO ALDERETE Alejandra,Alejandra ALONSO ALDERETE,Female,Athlete,PAR,Paraguay,10/1/1996
1541062,TRUE,BIAGIOLI Romina,Romina BIAGIOLI,Female,Athlete,ARG,Argentina,4/3/1989
1541265,TRUE,BARBELIN Lisa,Lisa BARBELIN,Female,Athlete,FRA,France,4/10/2000
1541266,TRUE,CORDEAU Amelie,Amelie CORDEAU,Female,Athlete,FRA,France,10/1/2005
1541268,TRUE,LOPEZ Caroline,Caroline LOPEZ,Female,Athlete,FRA,France,1/9/2004
1541270,TRUE,ADDIS Baptiste,Baptiste ADDIS,Male,Athlete,FRA,France,12/7/2006
1541272,TRUE,CHIRAULT Thomas,Thomas CHIRAULT,Male,Athlete,FRA,France,9/15/1997
1541275,TRUE,VALLADONT Jean-Charles,Jean-Charles VALLADONT,Male,Athlete,FRA,France,3/20/1989
1541290,TRUE,LORENZO Santiago,Santiago LORENZO,Male,Athlete,ARG,Argentina,9/21/2001
1541351,TRUE,ALIZADEH Dara,Dara ALIZADEH,Male,Athlete,BER,Bermuda,8/27/1993
1541356,TRUE,GOMEZ VALDIVIA Janeth,Janeth GOMEZ VALDIVIA,Female,Athlete,MEX,Mexico,10/26/1997
1541364,TRUE,FONSECA CARRAZANA Daniela,Daniela FONSECA CARRAZANA,Female,Athlete,CUB,Cuba,7/24/2002
1541367,TRUE,CAMPOS Jorge,Jorge CAMPOS,Male,Athlete,CUB,Cuba,9/19/1991
1541369,TRUE,PEREIRA Andy,Andy PEREIRA,Male,Athlete,CUB,Cuba,8/31/1989
1541412,TRUE,SIERRA Arlenis,Arlenis SIERRA,Female,Athlete,CUB,Cuba,12/7/1992
1541419,TRUE,BAHER ARASBARAN Farzad,Farzad BAHER ARASBARAN,Male,Athlete,IRI,Islamic Republic of Iran,11/24/1993
1541426,TRUE,PAKDAMAN Ali,Ali PAKDAMAN,Male,Athlete,IRI,Islamic Republic of Iran,8/23/1990
1541427,TRUE,FOTOUHI Mohammad,Mohammad FOTOUHI,Male,Athlete,IRI,Islamic Republic of Iran,12/5/1990
1541439,TRUE,RAHBARI Mohammad,Mohammad RAHBARI,Male,Athlete,IRI,Islamic Republic of Iran,12/13/1991
1541452,TRUE,GARCIA NAVARRO Anisley,Anisley GARCIA NAVARRO,Female,Athlete,CUB,Cuba,1/19/2002
1541453,TRUE,RUIZ Prisis,Prisis RUIZ,Female,Athlete,CUB,Cuba,1/28/2002
1541460,TRUE,BECALI Andrea,Andrea BECALI,Female,Athlete,CUB,Cuba,4/24/2004
1541462,TRUE,FALCON JR Rodolfo,Rodolfo FALCON JR,Male,Athlete,CUB,Cuba,12/26/2001
1541467,TRUE,de OLIVEIRA Roldeney,Roldeney de OLIVEIRA,Male,Athlete,STP,Sao Tome and Principe,7/4/2000
1541468,TRUE,SEMEDO Gorete,Gorete SEMEDO,Female,Athlete,STP,Sao Tome and Principe,10/5/1996
1541471,TRUE,DIACONU Adina,Adina DIACONU,Female,Athlete,ROU,Romania,10/14/1999
1541473,TRUE,IONESCU Eduard,Eduard IONESCU,Male,Athlete,ROU,Romania,11/9/2004
1541474,TRUE,IONESCU Ovidiu,Ovidiu IONESCU,Male,Athlete,ROU,Romania,6/28/1989
1541477,TRUE,SAMARA Elizabeta,Elizabeta SAMARA,Female,Athlete,ROU,Romania,4/15/1989
1541478,TRUE,SZOCS Bernadette,Bernadette SZOCS,Female,Athlete,ROU,Romania,3/5/1995
1541544,TRUE,ALDAIHANI Mohammad,Mohammad ALDAIHANI,Male,Athlete,KUW,Kuwait,8/1/1983
1541553,TRUE,BERTHIER Amita,Amita BERTHIER,Female,Athlete,SGP,Singapore,12/15/2000
1541554,TRUE,ABDUL RAHMAN Kiria Tikanah,Kiria Tikanah ABDUL RAHMAN,Female,Athlete,SGP,Singapore,6/25/2000
1541568,TRUE,CHIRILA Catalin,Catalin CHIRILA,Male,Athlete,ROU,Romania,5/11/1998
1541569,TRUE,NUTA Oleg,Oleg NUTA,Male,Athlete,ROU,Romania,2/3/1997
1541570,TRUE,SPRINCEAN Ilie,Ilie SPRINCEAN,Male,Athlete,ROU,Romania,8/1/1994
1541591,TRUE,PERIJOC Lenuta Lacramioara,Lenuta Lacramioara PERIJOC,Female,Athlete,ROU,Romania,2/3/1994
1541599,TRUE,GUTERRES Jolanio,Jolanio GUTERRES,Male,Athlete,TLS,Democratic Republic of Timor-Leste,5/12/2005
1541601,TRUE,XIMENES BELO Imelda,Imelda XIMENES BELO,Female,Athlete,TLS,Democratic Republic of Timor-Leste,10/24/1998
1541606,TRUE,ATAIDE Manuel,Manuel ATAIDE,Male,Athlete,TLS,Democratic Republic of Timor-Leste,3/9/2001
1541610,TRUE,YAMAGUCHI Akane,YAMAGUCHI Akane,Female,Athlete,JPN,Japan,6/6/1997
1541614,TRUE,WATANABE Yuta,WATANABE Yuta,Male,Athlete,JPN,Japan,6/13/1997
1541617,TRUE,NAGAHARA Wakana,NAGAHARA Wakana,Female,Athlete,JPN,Japan,1/9/1996
1541618,TRUE,MATSUMOTO Mayu,MATSUMOTO Mayu,Female,Athlete,JPN,Japan,8/7/1995
1541619,TRUE,HIGASHINO Arisa,HIGASHINO Arisa,Female,Athlete,JPN,Japan,8/1/1996
1541620,TRUE,NISHIMOTO Kenta,NISHIMOTO Kenta,Male,Athlete,JPN,Japan,8/30/1994
1541623,TRUE,HOKI Takuro,HOKI Takuro,Male,Athlete,JPN,Japan,8/14/1995
1541624,TRUE,KOBAYASHI Yugo,KOBAYASHI Yugo,Male,Athlete,JPN,Japan,7/10/1995
1541629,TRUE,SHIDA Chiharu,SHIDA Chiharu,Female,Athlete,JPN,Japan,4/29/1997
1541630,TRUE,MATSUYAMA Nami,MATSUYAMA Nami,Female,Athlete,JPN,Japan,6/28/1998
1541633,TRUE,OHORI Aya,OHORI Aya,Female,Athlete,JPN,Japan,10/2/1996
1541652,TRUE,da COSTA da SILVA PINTO Ana,Ana da COSTA da SILVA PINTO,Female,Athlete,TLS,Democratic Republic of Timor-Leste,3/12/1999
1541656,TRUE,SIM Levenia,Levenia SIM,Female,Athlete,SGP,Singapore,6/20/2006
1541659,TRUE,MOLNAR Ede-Karoly,Ede-Karoly MOLNAR,Male,Athlete,ROU,Romania,3/6/1996
1541672,TRUE,QUAH Jing Wen,Jing Wen QUAH,Female,Athlete,SGP,Singapore,12/20/2000
1541730,TRUE,CHALOYAN Davit,Davit CHALOYAN,Male,Athlete,ARM,Armenia,9/30/1997
1541773,TRUE,MADKAMOV Fakhriddin,Fakhriddin MADKAMOV,Male,Athlete,TJK,Tajikistan,1/14/2000
1541825,TRUE,EL BOUCHTI Oumaima,Oumaima EL BOUCHTI,Female,Athlete,MAR,Morocco,10/7/2000
1541970,TRUE,ABOUFARAS Fatima-Ezzahra,Fatima-Ezzahra ABOUFARAS,Female,Athlete,MAR,Morocco,2/28/2002
1542354,TRUE,DUCHAMPT Felix,Felix DUCHAMPT,Male,Athlete,ROU,Romania,9/5/1989
